ANNEE;DEP;CINSEE;SEXE;AGE_CL1;PA
2008;99;97551;F;0;26,2879716542084
2008;99;97551;F;1;32,3790633117314
2008;99;97551;F;10;42,828565357253
2008;99;97551;F;11;42
2008;99;97551;F;12;42,7569966984447
2008;99;97551;F;13;46
2008;99;97551;F;14;39,936789944768
2008;99;97551;F;15;43
2008;99;97551;F;16;44
2008;99;97551;F;17;46
2008;99;97551;F;18;31,074593441328
2008;99;97551;F;19;40,0140399779193
2008;99;97551;F;2;27
2008;99;97551;F;20;38
2008;99;97551;F;21;26,9074884601869
2008;99;97551;F;22;23
2008;99;97551;F;23;30
2008;99;97551;F;24;32,1624319341499
2008;99;97551;F;25;26
2008;99;97551;F;26;30
2008;99;97551;F;27;49
2008;99;97551;F;28;33
2008;99;97551;F;29;32,3882518000901
2008;99;97551;F;3;33,7460868135095
2008;99;97551;F;30;31
2008;99;97551;F;31;33,5474875902291
2008;99;97551;F;32;28,8719461685978
2008;99;97551;F;33;34
2008;99;97551;F;34;36
2008;99;97551;F;35;46,1647494153585
2008;99;97551;F;36;56,2549232696183
2008;99;97551;F;37;46,7090008442756
2008;99;97551;F;38;47
2008;99;97551;F;39;56
2008;99;97551;F;4;28,8168776372913
2008;99;97551;F;40;64,0756989109796
2008;99;97551;F;41;57,1063211027067
2008;99;97551;F;42;58,8820837563835
2008;99;97551;F;43;53
2008;99;97551;F;44;54,1426038672216
2008;99;97551;F;45;46
2008;99;97551;F;46;57,5877020806074
2008;99;97551;F;47;55,6979879003484
2008;99;97551;F;48;53
2008;99;97551;F;49;61
2008;99;97551;F;5;40,4915992594324
2008;99;97551;F;50;59
2008;99;97551;F;51;61
2008;99;97551;F;52;54,4138598253485
2008;99;97551;F;53;65
2008;99;97551;F;54;56
2008;99;97551;F;55;59,3038701594342
2008;99;97551;F;56;56
2008;99;97551;F;57;67,4332702234387
2008;99;97551;F;58;55,1292364334222
2008;99;97551;F;59;61,870288961567
2008;99;97551;F;6;42,6665118238889
2008;99;97551;F;60;57,9266670444049
2008;99;97551;F;61;54,3419817304239
2008;99;97551;F;62;36
2008;99;97551;F;63;44
2008;99;97551;F;64;39,6446902176831
2008;99;97551;F;65;32,550137917744
2008;99;97551;F;66;31
2008;99;97551;F;67;31
2008;99;97551;F;68;39
2008;99;97551;F;69;34,6816322107334
2008;99;97551;F;7;36
2008;99;97551;F;70;27,6020413793158
2008;99;97551;F;71;29
2008;99;97551;F;72;29,8203788686078
2008;99;97551;F;73;21
2008;99;97551;F;74;20,967560392106
2008;99;97551;F;75;32
2008;99;97551;F;76;18,2803520997986
2008;99;97551;F;77;23
2008;99;97551;F;78;19
2008;99;97551;F;79;20
2008;99;97551;F;8;35
2008;99;97551;F;80;23
